graph_type,vertices,edges,algorithm,heap,trial,total_us,insert_count,deletemin_count,decreasekey_count,insert_ns,deletemin_ns,decreasekey_ns
grid,900,1740,prim,pairing,4,208,900,900,1455,33200,36500,39500
grid,900,1740,prim,fibonacci,4,417,900,900,1451,32900,237500,44500
synthetic_worst,1000,188499,dijkstra,pairing,4,647,1000,1000,999,60400,37500,23200
synthetic_worst,1000,188499,dijkstra,fibonacci,4,821,1000,1000,999,42400,267500,25100
synthetic_worst,1000,188499,prim,pairing,4,1283,1000,1000,15249,65400,60800,365400
synthetic_worst,1000,188499,prim,fibonacci,4,1488,1000,1000,15249,86500,221500,368300
random_sparse,5000,24993,dijkstra,pairing,0,1938,5000,5000,9136,287100,459200,241000
random_sparse,5000,24993,dijkstra,fibonacci,0,3275,5000,5000,9132,343700,1800100,312200
random_sparse,5000,24993,prim,pairing,0,1693,5000,5000,12038,210000,319600,345900
random_sparse,5000,24993,prim,fibonacci,0,3160,5000,5000,12090,253100,1646000,433400
random_dense,5000,99986,dijkstra,pairing,0,3131,5000,5000,12976,251200,524000,377300
random_dense,5000,99986,dijkstra,fibonacci,0,3592,5000,5000,13112,302000,1538500,407800
random_dense,5000,99986,prim,pairing,0,2481,5000,5000,16947,324900,318800,464600
random_dense,5000,99986,prim,fibonacci,0,4536,5000,5000,16847,587800,1757200,600400
grid,4900,9660,dijkstra,pairing,0,1295,4900,4900,6282,274800,326500,160100
grid,4900,9660,dijkstra,fibonacci,0,2562,4900,4900,6281,302200,1586100,175100
grid,4900,9660,prim,pairing,0,1668,4900,4900,7918,405900,257200,236500
grid,4900,9660,prim,fibonacci,0,2702,4900,4900,7945,299100,1425200,393700
synthetic_worst,5000,4692499,dijkstra,pairing,0,13402,5000,5000,4999,256600,214400,122300
synthetic_worst,5000,4692499,dijkstra,fibonacci,0,13241,5000,5000,4999,315800,1412700,116800
synthetic_worst,5000,4692499,prim,pairing,0,17427,5000,5000,76249,294400,641800,2112800
synthetic_worst,5000,4692499,prim,fibonacci,0,18155,5000,5000,76249,300400,1554000,2145000
random_sparse,5000,24995,dijkstra,pairing,1,1839,5000,5000,9069,279100,434600,255800
random_sparse,5000,24995,dijkstra,fibonacci,1,3383,5000,5000,9034,310700,1900100,293600
random_sparse,5000,24995,prim,pairing,1,1669,5000,5000,12233,209000,319200,337300
random_sparse,5000,24995,prim,fibonacci,1,3058,5000,5000,12165,266500,1561200,402400
random_dense,5000,99980,dijkstra,pairing,1,3165,5000,5000,13235,249800,468200,407100
random_dense,5000,99980,dijkstra,fibonacci,1,3491,5000,5000,13138,277300,1495700,387500
random_dense,5000,99980,prim,pairing,1,2454,5000,5000,17003,262600,312300,506800
random_dense,5000,99980,prim,fibonacci,1,4456,5000,5000,17154,353700,1663900,761800
grid,4900,9660,dijkstra,pairing,1,1287,4900,4900,6360,247300,336700,165700
grid,4900,9660,dijkstra,fibonacci,1,2513,4900,4900,6332,256200,1578500,181400
grid,4900,9660,prim,pairing,1,1501,4900,4900,8005,303500,329700,241100
grid,4900,9660,prim,fibonacci,1,2447,4900,4900,8001,329000,1331800,238900
synthetic_worst,5000,4692499,dijkstra,pairing,1,13159,5000,5000,4999,231700,224700,117800
synthetic_worst,5000,4692499,dijkstra,fibonacci,1,13511,5000,5000,4999,306600,1370700,157400
synthetic_worst,5000,4692499,prim,pairing,1,16006,5000,5000,76249,256200,580800,2012100
synthetic_worst,5000,4692499,prim,fibonacci,1,16869,5000,5000,76249,307900,1380100,2057300
random_sparse,5000,24996,dijkstra,pairing,2,1797,5000,5000,9106,276700,407500,243200
random_sparse,5000,24996,dijkstra,fibonacci,2,2966,5000,5000,9096,312800,1619900,298800
random_sparse,5000,24996,prim,pairing,2,2511,5000,5000,12128,243000,507900,590100
random_sparse,5000,24996,prim,fibonacci,2,3150,5000,5000,12163,277900,1576200,425800
random_dense,5000,99976,dijkstra,pairing,2,2536,5000,5000,13118,250000,399200,354100
random_dense,5000,99976,dijkstra,fibonacci,2,3954,5000,5000,13087,319400,1660500,445200
random_dense,5000,99976,prim,pairing,2,2445,5000,5000,17137,273200,297700,463600
random_dense,5000,99976,prim,fibonacci,2,3918,5000,5000,17289,266200,1573400,566200
grid,4900,9660,dijkstra,pairing,2,1832,4900,4900,6256,582200,436200,171400
grid,4900,9660,dijkstra,fibonacci,2,2585,4900,4900,6254,302000,1580000,191200
grid,4900,9660,prim,pairing,2,1211,4900,4900,7894,226600,230100,226700
grid,4900,9660,prim,fibonacci,2,2772,4900,4900,7916,298600,1590000,292000
synthetic_worst,5000,4692499,dijkstra,pairing,2,13540,5000,5000,4999,336400,285600,126100
synthetic_worst,5000,4692499,dijkstra,fibonacci,2,13210,5000,5000,4999,286500,1301800,132100
synthetic_worst,5000,4692499,prim,pairing,2,16418,5000,5000,76249,289100,426600,1876300
synthetic_worst,5000,4692499,prim,fibonacci,2,16505,5000,5000,76249,286100,1255700,1797400
random_sparse,5000,24996,dijkstra,pairing,3,1842,5000,5000,9072,272100,446300,255600
random_sparse,5000,24996,dijkstra,fibonacci,3,3702,5000,5000,9046,315000,1926000,430500
random_sparse,5000,24996,prim,pairing,3,1778,5000,5000,12111,224300,337300,356000
random_sparse,5000,24996,prim,fibonacci,3,3238,5000,5000,12097,298400,1641100,435900
random_dense,5000,99989,dijkstra,pairing,3,3417,5000,5000,13116,625200,500100,486300
random_dense,5000,99989,dijkstra,fibonacci,3,3733,5000,5000,13033,295500,1609200,417100
random_dense,5000,99989,prim,pairing,3,3067,5000,5000,17182,257100,365500,561800
random_dense,5000,99989,prim,fibonacci,3,5541,5000,5000,16984,482400,2082500,761900
grid,4900,9660,dijkstra,pairing,3,1589,4900,4900,6282,268600,380200,250400
grid,4900,9660,dijkstra,fibonacci,3,2866,4900,4900,6270,311500,1805800,193700
grid,4900,9660,prim,pairing,3,1239,4900,4900,7923,242200,223500,220000
grid,4900,9660,prim,fibonacci,3,2393,4900,4900,7941,269200,1337800,248800
synthetic_worst,5000,4692499,dijkstra,pairing,3,13985,5000,5000,4999,255000,269500,120500
synthetic_worst,5000,4692499,dijkstra,fibonacci,3,13252,5000,5000,4999,338500,1367500,134100
synthetic_worst,5000,4692499,prim,pairing,3,15738,5000,5000,76249,311400,439500,1892400
synthetic_worst,5000,4692499,prim,fibonacci,3,17060,5000,5000,76249,301100,1429500,1940500
random_sparse,5000,24996,dijkstra,pairing,4,1902,5000,5000,9058,281600,442200,263600
random_sparse,5000,24996,dijkstra,fibonacci,4,3534,5000,5000,9042,349700,1931000,327900
random_sparse,5000,24996,prim,pairing,4,1731,5000,5000,12135,238900,312600,352400
random_sparse,5000,24996,prim,fibonacci,4,3053,5000,5000,12091,280300,1558400,402300
random_dense,5000,99979,dijkstra,pairing,4,3298,5000,5000,13029,279500,492500,391800
random_dense,5000,99979,dijkstra,fibonacci,4,3601,5000,5000,12964,300700,1508600,398400
random_dense,5000,99979,prim,pairing,4,2375,5000,5000,17086,241000,309400,456600
random_dense,5000,99979,prim,fibonacci,4,4263,5000,5000,16975,373500,1728400,593700
grid,4900,9660,dijkstra,pairing,4,1285,4900,4900,6288,267200,324900,159600
grid,4900,9660,dijkstra,fibonacci,4,2523,4900,4900,6277,285200,1564100,175300
grid,4900,9660,prim,pairing,4,1287,4900,4900,7904,254200,240700,232500
grid,4900,9660,prim,fibonacci,4,2702,4900,4900,7928,403400,1437800,256900
synthetic_worst,5000,4692499,dijkstra,pairing,4,13981,5000,5000,4999,222500,331000,119900
synthetic_worst,5000,4692499,dijkstra,fibonacci,4,13837,5000,5000,4999,377400,1405700,123800
synthetic_worst,5000,4692499,prim,pairing,4,16660,5000,5000,76249,328900,501100,2198900
synthetic_worst,5000,4692499,prim,fibonacci,4,17479,5000,5000,76249,300600,1379100,2223000
