graph_type,vertices,edges,algorithm,heap,trials,total_us_mean,total_us_median,insert_count_mean,deletemin_count_mean,decreasekey_count_mean,insert_ns_mean,deletemin_ns_mean,decreasekey_ns_mean,heap_ns_mean,heap_fraction_mean
random_dense,5000,99980,prim,fibonacci,1,4456.0,4456.0,5000.0,5000.0,17154.0,353700.0,1663900.0,761800.0,2779400.0,0.6237432675044884
random_dense,5000,99986,prim,fibonacci,1,4536.0,4536.0,5000.0,5000.0,16847.0,587800.0,1757200.0,600400.0,2945400.0,0.6493386243386243
random_dense,5000,99989,prim,fibonacci,1,5541.0,5541.0,5000.0,5000.0,16984.0,482400.0,2082500.0,761900.0,3326800.0,0.600397040245443
random_dense,5000,99976,prim,pairing,1,2445.0,2445.0,5000.0,5000.0,17137.0,273200.0,297700.0,463600.0,1034500.0,0.4231083844580777
random_dense,5000,99979,prim,pairing,1,2375.0,2375.0,5000.0,5000.0,17086.0,241000.0,309400.0,456600.0,1007000.0,0.424
random_dense,5000,99980,prim,pairing,1,2454.0,2454.0,5000.0,5000.0,17003.0,262600.0,312300.0,506800.0,1081700.0,0.44079054604726975
random_dense,5000,99986,prim,pairing,1,2481.0,2481.0,5000.0,5000.0,16947.0,324900.0,318800.0,464600.0,1108300.0,0.4467150342603789
random_dense,5000,99989,prim,pairing,1,3067.0,3067.0,5000.0,5000.0,17182.0,257100.0,365500.0,561800.0,1184400.0,0.3861754157156831
random_sparse,1000,4993,dijkstra,fibonacci,1,596.0,596.0,1000.0,1000.0,1805.0,82700.0,314200.0,51900.0,448800.0,0.7530201342281879
random_sparse,1000,4994,dijkstra,fibonacci,2,564.0,564.0,1000.0,1000.0,1830.5,39200.0,319700.0,54950.0,413850.0,0.733779849854759
random_sparse,1000,4998,dijkstra,fibonacci,2,561.5,561.5,1000.0,1000.0,1819.0,67000.0,299050.0,51350.0,417400.0,0.7432440753931222
random_sparse,1000,4993,dijkstra,pairing,1,303.0,303.0,1000.0,1000.0,1829.0,38700.0,72600.0,44400.0,155700.0,0.5138613861386139
random_sparse,1000,4994,dijkstra,pairing,2,335.0,335.0,1000.0,1000.0,1821.5,69050.0,72200.0,48500.0,189750.0,0.5658216276477146
random_sparse,1000,4998,dijkstra,pairing,2,334.0,334.0,1000.0,1000.0,1828.0,56450.0,77950.0,48100.0,182500.0,0.5464237371700058
random_sparse,5000,24993,dijkstra,fibonacci,1,3275.0,3275.0,5000.0,5000.0,9132.0,343700.0,1800100.0,312200.0,2456000.0,0.7499236641221374
random_sparse,5000,24995,dijkstra,fibonacci,1,3383.0,3383.0,5000.0,5000.0,9034.0,310700.0,1900100.0,293600.0,2504400.0,0.740289683712681
